"Topic","Difficulty","Q_No","Question","Expected Answer","Optional Follow-ups"
"Node.js Fundamentals","Basic","1","What is Node.js?","Node.js is a JavaScript runtime built on Chrome’s V8 engine that runs JS on the server.","Why is V8 important?; How is Node.js different from a browser?"
"Node.js Fundamentals","Basic","2","What is the event loop?","The event loop is the mechanism that lets Node.js handle async operations without blocking the main thread.","Which phase handles timers?; What happens in the poll phase?"
"Node.js Fundamentals","Basic","3","What does 'non-blocking I/O' mean?","Operations (e.g., file/network) don't block the thread; Node continues other work while waiting.","Why is this useful for servers?; Give an example of blocking code."
"Node.js Fundamentals","Basic","4","What are CommonJS modules?","Node's module system using require() and module.exports.","What's the difference between default and named exports?"
"Node.js Fundamentals","Basic","5","What are ES Modules (ESM) in Node.js?","ESM uses import/export syntax — the standard JS module format supported by Node.","How do you enable ESM in Node?; Can ESM and CommonJS mix?"
"Node.js Fundamentals","Intermediate","6","Explain the call stack, callback queue, and event loop relationship.","Code runs on the call stack; async callbacks are queued; the event loop moves queued callbacks to the stack when it's empty.","What about the microtask queue (promises)?; Which queue has higher priority?"
"Node.js Fundamentals","Intermediate","7","What is the difference between synchronous and asynchronous code in Node.js?","Sync code blocks the thread until completion; async code allows other tasks to run while waiting.","Give an example of each; What happens if you block the event loop?"
"Node.js Fundamentals","Intermediate","8","What is the purpose of the require cache?","Node caches loaded modules so repeated require() calls reuse the module instead of reloading it.","How can you clear the cache?; Why is caching important?"
"Node.js Fundamentals","Intermediate","9","What is the role of the libuv library in Node.js?","libuv provides the event loop, thread pool, and async I/O primitives used by Node.","How many threads are in the default thread pool?; Can you change the pool size?"
"Node.js Fundamentals","Advanced","10","What happens internally when Node.js executes an asynchronous fs operation?","Request goes to libuv → thread pool handles it → callback queued → event loop runs the callback when stack is free.","Which operations use the thread pool?; Why is DNS resolution sometimes blocking?"
"Node.js Fundamentals","Advanced","11","How does Node.js handle concurrency on a single thread?","Through async I/O + the event loop; heavy work is delegated to background threads/OS to avoid blocking.","Compare to multithreading; When would you use Worker Threads?"
"Node.js Fundamentals","Advanced","12","Explain how module resolution works in Node.js.","Node checks built-in modules, file modules, then node_modules; it resolves by checking extensions and package.json fields.","What fields affect ESM resolution?; What is the 'exports' field?"
"Node.js Fundamentals","Advanced","13","What are Worker Threads, and when should you use them?","Worker Threads run CPU-heavy tasks in parallel to avoid blocking the event loop.","Give an example of a CPU-heavy task; Difference between Worker Threads and clusters?"
"NPM & Package Management","Basic","1","What is NPM?","NPM is Node's default package manager to install, update, and manage libraries.","What is the difference between npm and npx?"
"NPM & Package Management","Basic","2","What is package.json?","A metadata file defining project dependencies, scripts, version, and project info.","What's the purpose of scripts?"
"NPM & Package Management","Basic","3","What is package-lock.json?","Locks exact versions of installed dependencies to ensure consistent installs.","Why does it include nested dependencies?"
"NPM & Package Management","Basic","4","What is the difference between dependency and devDependency?","dependencies: needed in production; devDependencies: only for development.","Give an example of each."
"NPM & Package Management","Basic","5","How do you install a package globally vs locally?","Local: npm install <pkg>; Global: npm install -g <pkg>.","Why are global installs less recommended?"
"NPM & Package Management","Intermediate","6","What is semantic versioning (semver)?","MAJOR.MINOR.PATCH — breaking changes bump MAJOR, new features MINOR, fixes PATCH.","What does ^1.2.3 mean?; What does ~1.2.3 mean?"
